"Dusautoy, James"
Mentioned In, URL
Letter 4.2225 27 February 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2225.html
Letter 4.2596 8 May 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2596.html
Letter 4.2597 10 May 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2597.html
Letter 4.2598 16 May 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2598.html
Letter 4.2620 22 June 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2620.html
Letter 4.2645 15 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2645.html
Letter 5.2712 10 February 1816 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2712.html
Letter 5.2728 27 February 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2728.html
Letter 5.2733 8 March 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2733.html
Letter 5.2790 16 May 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2790.html
Letter 7.4147 [c. March 1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4147.html
Letter 7.4166 3 April 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4166.html
Letters To, URL
Letter 4.2220 12 February 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2220.html
