"Wilberforce, William"
Letter 5.3150 12 June 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3150.html
Letter 5.3168 16 July 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3168.html
Letter 5.3173 27 July 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3173.html
Letter 5.3186 1 September 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3186.html
Letter 5.3224 24 December 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3224.html
Letter 6.3248 16 February 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3248.html
Letter 6.3267 17 March 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3267.html
Letter 6.3398 [started before and continued on] 5 December [1819],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3398.html
Letter 6.3478 [6 May 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3478.html
Letter 7.3818 3 April 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.3818.html
Letter 7.4159 18 March 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.4159.html
