"Wordsworth, William"
Letter 4.2493 27 October 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2493.html
Letter 4.2498 9 November 1814 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2498.html
Letter 4.2503 18 November 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2503.html
Letter 4.2506 28 November 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2506.html
Letter 4.2508 1 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2508.html
Letter 4.2513 11 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2513.html
Letter 4.2516 15 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2516.html
Letter 4.2520 c. 16 December 1814–]13 January 1815 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2520.html
Letter 4.2522 19 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2522.html
Letter 4.2524 22 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2524.html
Letter 4.2529 24 December 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2529.html
Letter 4.2541 14 January 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2541.html
Letter 4.2550 8 February 1815 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2550.html
Letter 4.2561 1 March 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2561.html
Letter 4.2571 14 March 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2571.html
Letter 4.2582 29 March 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2582.html
Letter 4.2583 7 April 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2583.html
Letter 4.2596 8 May 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2596.html
Letter 4.2598 16 May 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2598.html
Letter 4.2607 29 May 1815 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2607.html
Letter 4.2640 23 July 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2640.html
Letter 4.2645 15 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2645.html
Letter 4.2648 22 August 1815 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2648.html
Letter 4.2649 23 August 1815 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2649.html
Letter 4.2652 5 September 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2652.html
Letter 4.2675 6 December 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2675.html
Letter 4.2680 8 December 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2680.html
Letter 4.2689 28 December 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2689.html
Letter 5.2733 8 March 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2733.html
Letter 5.2735 13 March 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2735.html
Letter 5.2739 18 March 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2739.html
Letter 5.2761 18-[19] April 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2761.html
Letter 5.2771 26 April 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2771.html
Letter 5.2828 10 August 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2828.html
Letter 5.2830 17 August 1816 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2830.html
Letter 5.2832 25 August 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2832.html
Letter 5.2841 11 September 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2841.html
Letter 5.2859 8 November 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2859.html
Letter 5.2875 8 December [1816] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2875.html
Letter 5.2881 [21 December 1816],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2881.html
Letter 5.2883 22 December 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2883.html
Letter 5.2958 28 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2958.html
Letter 5.2960 31 March 1817 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2960.html
Letter 5.2962 1 April [1817],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2962.html
Letter 5.2969 Easter Sunday [6 April] 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2969.html
Letter 5.2971 7 April 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2971.html
Letter 5.2976 13 April 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2976.html
Letter 5.2981 28 April 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2981.html
Letter 5.2992 8 May 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2992.html
Letter 5.2997 17[-19] May 1817 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2997.html
Letter 5.3000 11 June 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3000.html
Letter 5.3015 23 August 1817 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3015.html
Letter 5.3020 2 September 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3020.html
Letter 5.3024 17 September 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3024.html
Letter 5.3026 4 October 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3026.html
Letter 5.3041 24 November 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3041.html
Letter 5.3042 26 November 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3042.html
Letter 5.3074 7 February 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3074.html
Letter 5.3104 25 March 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3104.html
Letter 5.3112 5 April [1818] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3112.html
Letter 5.3119 12 April 1818 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3119.html
Letter 5.3148 7 June 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3148.html
Letter 5.3151 13 June 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3151.html
Letter 5.3159 7 July 1818 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3159.html
Letter 5.3160 8 July 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3160.html
Letter 5.3162 10 July 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3162.html
Letter 5.3165 11 July 1818 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3165.html
Letter 5.3169 [c. 20 July 1818],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3169.html
Letter 5.3170 21 July 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3170.html
Letter 5.3175 1 August 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3175.html
Letter 5.3176 1 August 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3176.html
Letter 5.3177 4 August 1818 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3177.html
Letter 5.3187 6 September 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3187.html
Letter 5.3190 8 September 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3190.html
Letter 5.3195 18 September 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3195.html
Letter 5.3225 28 December 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3225.html
Letter 5.3227 31 December 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3227.html
Letter 6.3229 [1 January 1819],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3229.html
Letter 6.3230 3 January 1819 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3230.html
Letter 6.3231 6 January 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3231.html
Letter 6.3233 9 January 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3233.html
Letter 6.3242 8 February 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3242.html
Letter 6.3245 13 February 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3245.html
Letter 6.3255 27 February 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3255.html
Letter 6.3257 5 March 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3257.html
Letter 6.3272 [21 March 1819],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3272.html
Letter 6.3277 29 March [1819],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3277.html
Letter 6.3288 28 April 1819 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3288.html
Letter 6.3289 5 May 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3289.html
Letter 6.3290 7 May 1819 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3290.html
Letter 6.3296 19 May 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3296.html
Letter 6.3300 22 May 1819 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3300.html
Letter 6.3313 11 June 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3313.html
Letter 6.3315 13 June 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3315.html
Letter 6.3316 13 June 1819 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3316.html
Letter 6.3317 14 June 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3317.html
Letter 6.3318 15 June 1819 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3318.html
Letter 6.3369 24 October [1819],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3369.html
Letter 6.3375 30 October 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3375.html
Letter 6.3415 9 January 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3415.html
Letter 6.3418 15 January 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3418.html
Letter 6.3424 21 January 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3424.html
Letter 6.3443 20 February 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3443.html
Letter 6.3496 [c. 20 June 1820] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3496.html
Letter 6.3500 [28 June 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3500.html
Letter 6.3514 26 July 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3514.html
Letter 6.3524 14 August 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3524.html
Letter 6.3564 22 November 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3564.html
Letter 6.3580 8 December 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3580.html
Letter 6.3584 16 December 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3584.html
Letter 6.3585 19 December 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3585.html
Letter 6.3587 21 December 1820 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3587.html
Letter 6.3593 28 December 1820 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3593.html
Letter 6.3595 29 December 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3595.html
Letter 6.3599 31 December 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3599.html
Letter 6.3602 8 January 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3602.html
Letter 6.3611 19 January 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3611.html
Letter 6.3616 26 January 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3616.html
Letter 6.3629 8 February 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3629.html
Letter 6.3643 1 March 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3643.html
Letter 6.3670 15 April 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3670.html
Letter 6.3671 16 April [1821] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3671.html
Letter 6.3714 19 August 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3714.html
Letter 6.3726 5 September 1821 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3726.html
Letter 6.3735 15 October 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3735.html
Letter 6.3742 23 October 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3742.html
Letter 6.3744 5 November 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3744.html
Letter 6.3747 11 November 1821 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3747.html
Letter 6.3767 19 December 1821 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3767.html
Letter 6.3770 [24 December] 1821 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3770.html
Letter 6.3771 26 December 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3771.html
Letter 7.3774 [early] January 1822 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3774.html
Letter 7.3775 2 January 1822 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3775.html
Letter 7.3785 26 January [1822],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3785.html
Letter 7.3790 30 January 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3790.html
Letter 7.3791 31 January 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3791.html
Letter 7.3801 20 February 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3801.html
Letter 7.3802 22 February 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3802.html
Letter 7.3806 25 February 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3806.html
Letter 7.3807 27 February [1822],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3807.html
Letter 7.3811 8 March 1822 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3811.html
Letter 7.3814 19 March 1822 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3814.html
Letter 7.3818 3 April 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3818.html
Letter 7.3820 8 April 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3820.html
Letter 7.3831 28 April 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3831.html
Letter 7.3833 7 May 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3833.html
Letter 7.3838 17 May 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3838.html
Letter 7.3841 20 May 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3841.html
Letter 7.3842 20 May 1822 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3842.html
Letter 7.3846 27 May 1822 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3846.html
Letter 7.3850 4 June 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3850.html
Letter 7.3872 17 July 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3872.html
Letter 7.3883 14 August 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3883.html
Letter 7.3898 25 September 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3898.html
Letter 7.3903 8 October 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3903.html
Letter 7.3949 8 January 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3949.html
Letter 7.3963 10 February 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3963.html
Letter 7.3967 22 February 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3967.html
Letter 7.3979 14 March 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3979.html
Letter 7.3994 3 April 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3994.html
Letter 7.4013 8 May 1823 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4013.html
Letter 7.4014 9 May 1823 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4014.html
Letter 7.4017 12 May 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4017.html
Letter 7.4030 15 June 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4030.html
Letter 7.4042 13 July 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4042.html
Letter 7.4044 16 July–2 November 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4044.html
Letter 7.4050 2 August 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4050.html
Letter 7.4158 18 March 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4158.html
Letter 7.4180 [c. April 1824] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4180.html
Letter 7.4186 10 May 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4186.html
Letter 7.4191 27 May–26 June 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4191.html
Letter 7.4212 8 July 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4212.html
Letter 7.4245 10 September 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4245.html
Letter 7.4278 [13 November 1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4278.html
Letter 7.4287 5 December 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4287.html
Letter 7.4288 6 December 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4288.html
Letter 7.4289 8 December 1824 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4289.html
Letter 7.4300 21 December 1824.,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4300.html
Letter 7.4307 30 December 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4307.html

Letters To, URL
Letter 3.1035 [c. 10 February 1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1035.html
Letter 4.2085 April 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2085.html
Letter 4.2613 early June 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2613.html
Letter 4.2672 1 December 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2672.html
Letter 5.2768 22 April 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.2768.html
Letter 5.2987 5–8 May [1817],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.2987.html
Letter 5.3189 7 September 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3189.html
Letter 5.3211 23 November [1818],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3211.html
Letter 6.3682 6 May 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3682.html
Letter 7.3824 11 April [1822],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.3824.html
