"Wordsworth, Dorothy"
Mentioned In, URL
Letter 1.275 3 [– 4] December 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.275.html
Letter 2.285 [19 January 1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.285.html
Letter 2.440 3 October 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.440.html
Letter 2.649 9 January 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.649.html
Letter 2.654 [started before and continued on] 6 February [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.654.html
Letter 2.838 [8 September 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.838.html
Letter 3.1036 15 February 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1036.html
Letter 3.1037 [started before and continued on] 17 February 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1037.html
Letter 3.1038 [started before and continued on] 18 February 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1038.html
Letter 3.1046 9 March 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1046.html
Letter 3.1047 9 March 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1047.html
Letter 3.1311 [c. 24 April 1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1311.html
Letter 4.2001 16 December 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2001.html
Letter 4.2369 25 January 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2369.html
Letter 4.2462 27 July 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2462.html
Letter 4.2649 23 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2649.html
Letter 5.2997 17[-19] May 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2997.html
Letter 5.3226 [late December 1818],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3226.html
Letter 6.3477 4 May 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3477.html
Letter 6.3481 12 [May 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3481.html
Letter 6.3564 22 November 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3564.html
Letter 6.3701 7 July 1821 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3701.html
Letters To, URL
